1	6102002	1472051	25	-1
1	6102002	1442056	25	-1
1	6102002	1072228	25	-1
1	6102002	1322062	25	-1
1	6102002	1092061	25	-1
1	6102002	1452019	25	-1
1	6102002	1492012	25	-1
1	6102002	1092050	25	-1
1	6102002	1402005	25	-1
1	6102002	1052131	25	-1
1	6102002	1462016	25	-1
1	6102002	1332051	25	-1
1	6102002	1102043	50	-1
1	6102002	1102206	50	-1
1	6102002	1102260	50	-1
1	6102002	3010010	25	-1
1	6102002	4032015	25	-1
1	6102002	4032016	25	-1
1	6102002	4032017	25	-1
1	6102002	4161018	25	-1
1	6102002	4161021	25	-1
1	6102002	4001107	25	-1
1	6102002	4161015	25	-1
1	6102002	4161016	25	-1
1	6102002	2022121	25	-1
1	6102002	2044803	25	-1
1	6102002	2044903	25	-1
1	6102002	2290071	50	-1
1	6102002	2290027	50	-1
1	6102002	2290111	50	-1
1	6102002	2290118	50	-1
1	6102002	2290103	50	-1
1	6102002	2290047	50	-1
1	6102002	2290091	50	-1
1	6102002	2290053	50	-1
1	6102002	2290061	50	-1
1	6102002	2290011	50	-1
1	6102002	2290089	50	-1
1	6102002	1382060	50	-1
1	6102002	1442068	50	-1
1	6102002	1452060	50	-1
