1	200011	4021000	1	-1
1	200011	4021001	1	-1
1	200011	4021002	1	-1
1	200011	4021003	1	-1
1	200011	4021004	1	-1
1	200011	4021005	1	-1
1	200011	4021006	1	-1
1	200011	4021007	1	-1
1	200011	4021008	1	-1
1	200011	4011010	1	-1
1	200011	4005000	1	-1
1	200011	4005001	1	-1
1	200011	4005002	1	-1
1	200011	4005003	1	-1
1	200011	4005004	1	-1
1	200011	4011004	1	-1
1	200011	4011005	1	-1
1	200011	4011006	1	-1
1	200011	4011003	1	-1
1	200011	4011002	1	-1
1	200011	4011001	1	-1
1	200011	4011000	1	-1
1	200011	4011007	1	-1
1	200011	4011008	1	-1
1	200011	4011009	1	-1
